number,editorial_year,publication_date,summary,url,text_file
0,Ano 1,1993,"Esta edição explora as diversas estratégias do NEMOC para a melhoria do ensino e aprendizagem de matemática. Este número examina a sistematização de estudos, a discussão sobre a matematização escolarização no Brasil e a importância dos livros paradidáticos no ensino da matemática.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim000.pdf,Folhetim000.txt
1,Ano 1,Ago. / 1993,"Esta edição aborda a divulgação de ideias e o estímulo ao estudo da Matemática sob uma perspectiva pedagógica, filosófica e histórica. Este volume examina a importância do esforço intelectual no aprendizado matemático e confronta as concepções dominantes sobre o ensino, refletindo os desafios históricos e estruturais da educação matemática.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim001.pdf,Folhetim001.txt
2,Ano 1,Ago. / 1993,"Esta edição aborda a criação do Núcleo de Educação Matemática Omar Catunda (NEMO) e suas finalidades, como realizar cursos, seminários e pesquisas sobre o ensino da matemática no Brasil. Este número explora a institucionalização do NEMO e a importância de estudos sobre livros didáticos e a função do conhecimento matemático na pré-escola.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim002.pdf,Folhetim002.txt
3,Ano 1,Ago. / 1993,"Esta edição aborda a introdução ao conceito de Topologia como um ramo da Matemática, contrastando-o com a Geometria Projetiva e Descritiva. Explora a distinção entre perguntas quantitativas e qualitativas, focando em noções topológicas como vizinhança, interior e exterior.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim003.pdf,Folhetim003.txt
4,Ano 1,Ago. / 1993,"Esta edição aborda a discussão sobre o ensino de matemática para professores do 1º e 2º graus, focando na introdução da Topologia como um ramo que se preocupa com o aspecto qualitativo dos objetos, independente da medida numérica.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim004.pdf,Folhetim004.txt
5,Ano 1,Set. / 1993,"Esta edição aborda a natureza histórica e conceitual dos números, explorando o status do zero como número natural e discutindo a importância da clareza pedagógica frente ao rigor no ensino da Matemática.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim005.pdf,Folhetim005.txt
6,Ano 1,Set. / 1993,"Esta edição aborda as dificuldades pedagógicas na introdução do conceito de conjunto vazio para crianças e a relação entre a história da matemática, ação e compreensão. Este número explora como o aprendizado dos conceitos deve se desenvolver gradualmente, evitando traumas psicológicos e focando na experiência prática.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim006.pdf,Folhetim006.txt
7,Ano 1,Set. / 1993,"Esta edição explora a contextualização da matemática através de exemplos práticos, como a regra dos sinais e o conceito de números primos. O texto utiliza a situação do dinheiro para ilustrar operações com números positivos e negativos, buscando estimular a curiosidade intelectual dos estudantes.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim007.pdf,Folhetim007.txt
8,Ano 1,Set. / 1993,"Esta edição aborda a natureza da Matemática como ciência, questionando sua exatidão e o papel do caminho histórico no desenvolvimento do conhecimento matemático. Este número explora a necessidade de adotar uma perspectiva empática para avaliar o conhecimento, buscando superar referenciais privilegiados e promover a compreensão mútua entre os indivíduos.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim008.pdf,Folhetim008.txt
9,Ano 1,Set. / 1993,"Esta edição aborda a origem da matemática como ciência, explorando o mito do milagre grego e as influências culturais na história da matemática. Este número explora como a perspectiva eurocêntrica moldou o desenvolvimento matemático, citando historiadores e matemáticos para analisar a evolução do pensamento científico.",http://www.nemoc.uefs.br/arquivos/File/Folhetim/Folhetim009.pdf,Folhetim009.txt
